# TimeStep	Observable
0	0.005529
1	-0.020850
2	-0.001989
3	0.003412
4	0.006016
5	-0.012560
6	-0.014951
7	0.002897
8	-0.004630
9	0.009280
10	0.045921
11	-0.005263
12	-0.014060
13	-0.004834
14	-0.005947
15	-0.009960
16	-0.016444
17	-0.017628
18	0.027604
19	0.009849
20	0.015598
21	0.010549
22	0.003085
23	-0.011259
24	0.015588
25	-0.021341
26	0.016641
27	0.023006
28	-0.011387
29	-0.000629
30	0.004348
31	0.018226
32	0.014106
33	-0.010413
34	-0.023388
35	0.007838
36	-0.009457
37	-0.003684
38	-0.018007
39	-0.017853
40	0.012093
41	-0.030296
42	-0.006685
43	0.018405
44	-0.019351
45	0.015006
46	-0.011779
47	-0.008887
48	0.002091
49	-0.018040
50	0.024543
51	0.011887
52	-0.003069
53	0.010657
54	-0.008167
55	-0.013889
56	-0.000818
57	-0.003152
58	-0.013411
59	-0.009634
60	-0.009814
61	-0.012276
62	-0.003092
63	0.014493
64	0.000338
65	-0.000645
66	-0.026445
67	0.017350
68	0.029311
69	0.015455
70	0.010956
71	0.008582
72	0.005628
73	-0.008140
74	-0.013473
75	0.010766
76	-0.000557
77	0.005481
78	0.005937
79	-0.019791
80	-0.029456
81	0.000992
82	0.024142
83	0.022439
84	-0.015537
85	0.014255
86	-0.001669
87	0.009413
88	-0.002021
89	-0.007816
90	-0.003907
91	-0.000203
92	0.003702
93	0.007531
94	0.007011
95	0.003756
96	-0.005787
97	0.013909
98	0.018294
99	-0.009817
100	0.016560
101	-0.016100
102	-0.021132
103	0.008069
104	0.030064
105	-0.001764
106	0.006140
107	-0.006167
108	-0.003846
109	-0.007726
110	-0.007201
111	-0.000213
112	0.013179
113	-0.012454
114	0.004725
115	0.006692
116	0.009893
117	-0.015183
118	-0.004445
119	0.003347
120	-0.019261
121	0.005823
122	0.006273
123	-0.027385
124	0.019619
125	-0.016727
126	-0.001549
127	0.021260
128	-0.012972
129	0.007314
130	-0.027519
131	-0.003772
132	0.003569
133	-0.028651
134	0.009992
135	0.024467
136	0.018640
137	0.026490
138	-0.018008
139	-0.017343
140	-0.004345
141	0.000765
142	0.011911
143	-0.005979
144	-0.008580
145	-0.009949
146	-0.018475
147	0.006303
148	-0.015479
149	0.008357
150	-0.039301
151	-0.006030
152	0.007880
153	-0.012974
154	-0.010340
155	-0.016711
156	-0.014545
157	-0.011312
158	0.010948
159	-0.021638
160	0.006204
161	-0.018901
162	-0.018539
163	0.021574
164	0.004985
165	0.003364
166	0.004896
167	0.025529
168	-0.016175
169	0.002347
170	-0.014183
171	-0.031850
172	-0.028889
173	0.018882
174	-0.004277
175	-0.030254
176	-0.007163
177	0.002732
178	-0.027168
179	0.012027
180	-0.006910
181	-0.003817
182	-0.001949
183	-0.012741
184	0.019254
185	0.009636
186	-0.018460
187	0.016786
188	0.000817
189	0.012137
190	-0.030289
191	0.010403
192	0.011400
193	0.038052
194	0.000444
195	-0.002019
196	-0.009943
197	0.013941
198	-0.004213
199	-0.014435
200	0.011905
201	-0.011783
202	0.006881
203	0.019429
204	0.018678
205	-0.007913
206	-0.005194
207	-0.007716
208	0.014884
209	-0.033900
210	-0.002888
211	-0.022160
212	0.009130
213	0.006486
214	-0.004364
215	-0.010217
216	-0.010709
217	-0.018735
218	0.011207
219	-0.010150
220	-0.004711
221	0.002178
222	0.001807
223	0.002219
224	0.010059
225	-0.001969
226	0.013807
227	-0.002484
228	0.014486
229	0.008563
230	-0.015837
231	-0.005743
232	-0.012101
233	-0.034016
234	0.005801
235	0.014930
236	0.010761
237	-0.021354
238	-0.023764
239	0.009351
240	-0.024139
241	-0.009046
242	-0.006156
243	-0.016131
244	-0.002719
245	-0.007785
246	0.002694
247	-0.007895
248	0.004066
249	-0.006495
250	0.011365
251	0.009955
252	-0.026688
253	-0.010513
254	-0.020824
255	0.030274
256	-0.004218
257	-0.001032
258	0.004445
259	0.021782
260	-0.015141
261	-0.004650
262	-0.016142
263	0.025602
264	-0.013771
265	-0.014540
266	0.018502
267	-0.005340
268	0.030907
269	-0.011372
270	0.010284
271	0.010364
272	0.001369
273	0.012091
274	0.002875
275	0.007832
276	0.009155
277	-0.025488
278	-0.014865
279	-0.006166
280	0.005700
281	0.001859
282	0.005545
283	-0.000817
284	0.013163
285	-0.001242
286	-0.006451
287	-0.004598
288	-0.000136
289	-0.000910
290	-0.019331
291	0.016119
292	-0.016353
293	0.019041
294	0.011756
295	-0.014038
296	0.019322
297	-0.011763
298	-0.013220
299	-0.002071
300	-0.006842
301	-0.003478
302	-0.006306
303	-0.010237
304	0.007877
305	0.013206
306	-0.009186
307	0.005339
308	0.008061
309	0.002923
310	-0.036077
311	0.000486
312	0.015211
313	-0.010327
314	-0.001076
315	0.018423
316	-0.014496
317	-0.018651
318	-0.010567
319	0.009261
320	-0.011655
321	-0.002072
322	-0.018478
323	-0.002870
324	0.007689
325	0.003892
326	-0.019948
327	-0.021164
328	-0.019939
329	-0.003562
330	-0.014275
331	-0.013195
332	-0.018352
333	-0.007685
334	0.011950
335	-0.007529
336	-0.011409
337	0.017336
338	-0.025245
339	-0.008346
340	-0.032006
341	0.016688
342	-0.028378
343	-0.003699
344	0.024438
345	-0.007841
346	-0.009354
347	-0.012259
348	0.017732
349	0.000383
350	0.010258
351	-0.014314
352	0.019146
353	-0.003924
354	0.001700
355	0.017591
356	-0.005297
357	0.009425
358	-0.004675
359	-0.008251
360	0.019404
361	0.010380
362	-0.016953
363	-0.017314
364	0.008846
365	0.010656
366	0.013129
367	-0.037521
368	-0.026506
369	0.024808
370	0.025479
371	-0.003629
372	0.013094
373	-0.012132
374	-0.009324
375	0.004391
376	-0.008673
377	0.009602
378	-0.001800
379	0.013364
380	0.010819
381	-0.003155
382	0.014463
383	-0.011639
384	-0.004949
385	0.000410
386	0.012770
387	0.014391
388	0.008309
389	-0.005158
390	-0.000208
391	-0.002331
392	-0.004423
393	0.022475
