# TimeStep	Observable
0	-0.008851
1	0.014266
2	0.000545
3	0.021815
4	0.005074
5	-0.006593
6	-0.014155
7	-0.005906
8	0.011765
9	-0.018252
10	-0.006602
11	-0.021470
12	-0.000235
13	-0.000229
14	-0.004521
15	0.019130
16	0.008063
17	-0.002750
18	-0.000684
19	0.008284
20	-0.006240
21	0.010255
22	0.003678
23	-0.020021
24	-0.013627
25	0.000702
26	0.012528
27	-0.000644
28	0.010056
29	0.008618
30	0.024215
31	0.021141
32	-0.001171
33	-0.000061
34	0.006071
35	-0.023782
36	0.006688
37	0.011497
38	0.033714
39	-0.031770
40	0.002577
41	-0.004357
42	-0.010177
43	-0.010994
44	0.004743
45	0.005054
46	0.011428
47	0.000239
48	0.013828
49	0.012896
50	0.007493
51	0.012501
52	0.005490
53	-0.011533
54	-0.002960
55	-0.000535
56	-0.004263
57	0.008817
58	0.002932
59	0.023250
60	-0.008763
61	-0.018439
62	0.010436
63	-0.036944
64	-0.002205
65	-0.035242
66	0.004605
67	0.019528
68	-0.005553
69	-0.023131
70	-0.000758
71	0.025321
72	-0.009667
73	0.015239
74	0.017366
75	-0.035727
76	-0.000135
77	0.009963
78	0.011629
79	0.019083
80	0.005677
81	0.008150
82	0.002428
83	0.019872
84	0.004294
85	0.007424
86	0.003627
87	0.006860
88	0.011515
89	0.011009
90	-0.029739
91	-0.005741
92	0.001354
93	-0.005781
94	-0.013967
95	0.021268
96	0.006041
97	0.001070
98	-0.004396
99	-0.008732
100	0.002430
101	0.008429
102	-0.008177
103	-0.030730
104	0.015977
105	0.018199
106	0.000433
107	-0.022994
108	0.013991
109	0.006414
110	-0.003523
111	0.014759
112	0.026926
113	-0.004762
114	0.011284
115	0.016741
116	-0.007199
117	0.000643
118	0.005265
119	-0.011589
120	0.000918
121	-0.006216
122	0.007421
123	-0.003003
124	-0.017458
125	0.003067
126	-0.002829
127	0.014391
128	-0.005034
129	-0.007741
130	-0.007534
131	0.005052
132	0.010538
133	-0.000335
134	0.008500
135	0.004597
136	-0.018739
137	0.020850
138	0.028209
139	-0.022596
140	-0.017401
141	-0.014585
142	0.005123
143	-0.004619
144	0.009845
145	0.003316
146	0.012526
147	-0.002866
148	0.003907
149	-0.007557
150	0.030199
151	-0.008565
152	-0.027211
153	-0.018724
154	0.005434
155	-0.017255
156	0.002784
157	-0.006198
158	0.000120
159	-0.002921
160	0.009129
161	0.000444
162	-0.001175
163	0.021076
164	-0.002497
165	0.023496
166	0.014471
167	0.001743
168	-0.011614
169	-0.015409
170	0.012549
171	0.009060
172	-0.006658
173	-0.010153
174	0.022598
175	0.018628
176	0.002704
177	0.006541
178	-0.013580
179	0.000605
180	-0.008050
181	-0.006235
182	-0.011639
183	-0.005604
184	0.005137
185	-0.010128
186	-0.008406
187	0.013598
188	0.015187
189	-0.006494
190	0.016247
191	-0.008608
192	0.013377
193	-0.000924
194	-0.006841
195	-0.002005
196	0.031427
197	-0.015994
198	0.007659
199	0.018722
200	0.012920
201	-0.027696
202	-0.023251
203	-0.024886
204	0.009429
205	0.000458
206	0.009554
207	-0.003914
208	-0.003025
209	0.025032
210	-0.018942
211	-0.025476
212	-0.018118
213	0.002819
214	-0.006497
215	0.008936
216	0.012993
217	0.015719
218	0.024700
219	-0.022797
220	-0.002635
221	0.002388
222	0.001928
223	-0.016542
224	-0.013957
225	0.018076
226	0.007347
227	-0.022934
228	0.010337
229	-0.003168
230	-0.018624
231	0.005657
232	-0.007833
233	0.003864
234	-0.005441
235	-0.022713
